time;cor;logo
America-MG;#006437;https://tmssl.akamaized.net//images/wappen/head/2863.png?lm=1646322335
America-RN;#FF0000;https://tmssl.akamaized.net//images/wappen/head/1751.png?lm=1450820578
Athletico-PR;#CC092F;https://tmssl.akamaized.net//images/wappen/head/679.png?lm=1548711363
Atletico-GO;#FF0000;https://tmssl.akamaized.net//images/wappen/head/15172.png?lm=1598605472
Atletico-MG;#000000;https://tmssl.akamaized.net//images/wappen/head/330.png?lm=1411033853
Avai;#1a65a8;https://tmssl.akamaized.net//images/wappen/head/2035.png?lm=1419949249
Bahia;#0033A0;https://tmssl.akamaized.net//images/wappen/head/10010.png?lm=1412879423
Barueri;;
Botafogo-RJ;#000000;https://tmssl.akamaized.net//images/wappen/head/537.png?lm=1651494898
Bragantino;#d71e3e;https://tmssl.akamaized.net//images/wappen/head/8793.png?lm=1577915313
Brasiliense;;
Ceara;#000000;https://tmssl.akamaized.net//images/wappen/head/2029.png?lm=1437429449
Chapecoense;#009739;https://tmssl.akamaized.net//images/wappen/head/17776.png?lm=1677130387
Corinthians;#000000;https://tmssl.akamaized.net//images/wappen/head/199.png?lm=1649430398
Coritiba;#006437;https://tmssl.akamaized.net//images/wappen/head/776.png?lm=1412879464
Criciuma;#ffd200;https://tmssl.akamaized.net//images/wappen/head/7178.png?lm=1412878993
Cruzeiro;#2F529E;https://tmssl.akamaized.net//images/wappen/head/609.png?lm=1738870348
CSA;#00356a;https://tmssl.akamaized.net//images/wappen/head/18545.png?lm=1445634683
Cuiaba;#006536;https://tmssl.akamaized.net//images/wappen/head/28022.png?lm=1451243370
Figueirense;#000000;https://tmssl.akamaized.net//images/wappen/head/4064.png?lm=1412879618
Flamengo;#CC092F;https://tmssl.akamaized.net//images/wappen/head/614.png?lm=1551023331
Fluminense;#830A22;https://tmssl.akamaized.net//images/wappen/head/2462.png?lm=1648225934
Fortaleza;#0033A0;https://tmssl.akamaized.net//images/wappen/head/10870.png?lm=1631541450
Goias;#006437;https://tmssl.akamaized.net//images/wappen/head/3197.png?lm=1668099048
Gremio;#0099CC;https://tmssl.akamaized.net//images/wappen/head/210.png?lm=1412879265
Gremio Prudente;;
Guarani;#006c51;https://tmssl.akamaized.net//images/wappen/head/1755.png?lm=1450819625
Internacional;#FF0000;https://tmssl.akamaized.net//images/wappen/head/6600.png?lm=1644878605
Ipatinga;;
Joinville;#d71e3e;https://tmssl.akamaized.net//images/wappen/head/3330.png?lm=1419949314
Juventude;#00841b;https://tmssl.akamaized.net//images/wappen/head/10492.png?lm=1416046262
Nautico;#CC092F;https://tmssl.akamaized.net//images/wappen/head/2646.png?lm=1429043382
Palmeiras;#006437;https://tmssl.akamaized.net//images/wappen/head/1023.png?lm=1411204983
Parana;#CC092F;https://tmssl.akamaized.net//images/wappen/head/309.png?lm=1435963615
Paysandu;#0092d2;https://tmssl.akamaized.net//images/wappen/head/6347.png?lm=1596631029
Ponte Preta;#000000;https://tmssl.akamaized.net//images/wappen/head/1134.png?lm=1419949200
Portuguesa;#FF0000;https://tmssl.akamaized.net//images/wappen/head/10247.png?lm=1673282057
Santa Cruz;#000000;https://tmssl.akamaized.net//images/wappen/head/1785.png?lm=1419586875
Santo Andre;#f9c520;https://tmssl.akamaized.net//images/wappen/head/7478.png?lm=1450820536
Santos;#000000;https://tmssl.akamaized.net//images/wappen/head/221.png?lm=1412879099
Sao Caetano;#ee3028;https://tmssl.akamaized.net//images/wappen/head/291.png?lm=1455314787
Sao Paulo;#FF0000;https://tmssl.akamaized.net//images/wappen/head/585.png?lm=1409133922
Sport;#CC092F;https://tmssl.akamaized.net//images/wappen/head/8718.png?lm=1708623979
Vasco;#000000;https://tmssl.akamaized.net//images/wappen/head/978.png?lm=1651168164
Vitoria;#CC092F;https://tmssl.akamaized.net//images/wappen/head/2125.png?lm=1412879373
